County/State,Population
"Reagan County, Texas",3752
"Real County, Texas",3389
"Red River County, Texas",12275
"Reeves County, Texas",15125
"Refugio County, Texas",7236
"Roberts County, Texas",885
"Robertson County, Texas",16890
"Rockwall County, Texas",93642
"Runnels County, Texas",10310
"Rusk County, Texas",53595
"Sabine County, Texas",10458
"San Augustine County, Texas",8327
"San Jacinto County, Texas",27819
"San Patricio County, Texas",67046
"San Saba County, Texas",5962
"Schleicher County, Texas",3061
"Scurry County, Texas",17239
"Shackelford County, Texas",3311
"Shelby County, Texas",25478
"Sherman County, Texas",3058
"Smith County, Texas",225015
"Somervell County, Texas",8743
"Starr County, Texas",63894
"Stephens County, Texas",9372
"Sterling County, Texas",1141
"Stonewall County, Texas",1385
"Sutton County, Texas",3865
"Swisher County, Texas",7484
"Tarrant County, Texas",2019977
"Taylor County, Texas",136348
"Terrell County, Texas",862
"Terry County, Texas",12615
"Throckmorton County, Texas",1567
"Titus County, Texas",32730
"Tom Green County, Texas",117466
"Travis County, Texas",1203166
"Trinity County, Texas",14569
"Tyler County, Texas",21496
"Upshur County, Texas",40769
"Upton County, Texas",3634
"Uvalde County, Texas",27009
"Val Verde County, Texas",49027
"Van Zandt County, Texas",54368
"Victoria County, Texas",91970
"Walker County, Texas",71539
"Waller County, Texas",49987
"Ward County, Texas",11586
"Washington County, Texas",34796
"Webb County, Texas",272053
"Wharton County, Texas",41551
"Wheeler County, Texas",5482
"Wichita County, Texas",131818
"Wilbarger County, Texas",12906
"Willacy County, Texas",21754
"Williamson County, Texas",527057
"Wilson County, Texas",48198
"Winkler County, Texas",7802
"Wise County, Texas",64639
"Wood County, Texas",43815
"Yoakum County, Texas",8571
"Young County, Texas",18114
"Zapata County, Texas",14369
"Zavala County, Texas",12131
"Beaver County, Utah",6443
"Box Elder County, Utah",53001
"Cache County, Utah",122336
"Carbon County, Utah",20356
"Daggett County, Utah",612
"Davis County, Utah",340621
"Duchesne County, Utah",20219
"Emery County, Utah",10248
"Garfield County, Utah",5017
"Grand County, Utah",9616
"Iron County, Utah",49691
"Juab County, Utah",10948
"Kane County, Utah",7350
"Millard County, Utah",12733
"Morgan County, Utah",11391
"Piute County, Utah",1904
"Rich County, Utah",2350
"Salt Lake County, Utah",1120805
"San Juan County, Utah",15281
"Sanpete County, Utah",29366
"Sevier County, Utah",21118
"Summit County, Utah",40511
"Tooele County, Utah",65185
"Uintah County, Utah",36323
"Utah County, Utah",590440
"Wasatch County, Utah",30523
"Washington County, Utah",160537
"Wayne County, Utah",2694
"Weber County, Utah",247731
"Addison County, Vermont",36939
"Bennington County, Vermont",35920
"Caledonia County, Vermont",30425
"Chittenden County, Vermont",162052
"Essex County, Vermont",6208
"Franklin County, Vermont",49025
"Grand Isle County, Vermont",6965
"Lamoille County, Vermont",25268
"Orange County, Vermont",28937
"Orleans County, Vermont",26911
"Rutland County, Vermont",59273
"Washington County, Vermont",58477
"Windham County, Vermont",43150
"Windsor County, Vermont",55427
"Accomack County, Virginia",32742
"Albemarle County, Virginia",106355
"Alleghany County, Virginia",15286
"Amelia County, Virginia",12854
"Amherst County, Virginia",31882
"Appomattox County, Virginia",15577
"Arlington County, Virginia",231803
"Augusta County, Virginia",74701
"Bath County, Virginia",4393
"Bedford County, Virginia",77908
"Bland County, Virginia",6447
"Botetourt County, Virginia",33222
"Brunswick County, Virginia",16665
"Buchanan County, Virginia",22138
"Buckingham County, Virginia",17004
"Campbell County, Virginia",55170
"Caroline County, Virginia",30184
"Carroll County, Virginia",29738
"Charles City County, Virginia",6995
"Charlotte County, Virginia",12095
"Chesterfield County, Virginia",339447
"Clarke County, Virginia",14365
"Craig County, Virginia",5113
"Culpeper County, Virginia",50450
"Cumberland County, Virginia",9786
"Dickenson County, Virginia",14960
"Dinwiddie County, Virginia",28308
"Essex County, Virginia",11036
"Fairfax County, Virginia",1143529
"Fauquier County, Virginia",69115
"Floyd County, Virginia",15666
"Fluvanna County, Virginia",26282
"Franklin County, Virginia",56233
"Frederick County, Virginia",85153
"Giles County, Virginia",16814
"Gloucester County, Virginia",37161
"Goochland County, Virginia",22482
"Grayson County, Virginia",15811
"Greene County, Virginia",19410
"Greensville County, Virginia",11659
"Halifax County, Virginia",34779
"Hanover County, Virginia",104449
"Henrico County, Virginia",325642
"Henry County, Virginia",51588
"Highland County, Virginia",2214
"Isle of Wight County, Virginia",36372
"James City County, Virginia",74153
"King and Queen County, Virginia",7052
"King George County, Virginia",25890
"King William County, Virginia",16497
"Lancaster County, Virginia",10804
"Lee County, Virginia",24134
"Loudoun County, Virginia",385143
"Louisa County, Virginia",35380
"Lunenburg County, Virginia",12278
"Madison County, Virginia",13139
"Mathews County, Virginia",8796
"Mecklenburg County, Virginia",30847
"Middlesex County, Virginia",10700
"Montgomery County, Virginia",97997
"Nelson County, Virginia",14812
"New Kent County, Virginia",21103
"Northampton County, Virginia",11957
"Northumberland County, Virginia",12223
"Nottoway County, Virginia",15500
"Orange County, Virginia",35612
"Page County, Virginia",23749
"Patrick County, Virginia",17859
"Pittsylvania County, Virginia",61676
"Powhatan County, Virginia",28574
"Prince Edward County, Virginia",22956
"Prince George County, Virginia",37894
"Prince William County, Virginia",456749
"Pulaski County, Virginia",34234
"Rappahannock County, Virginia",7332
"Richmond County, Virginia",8878
"Roanoke County, Virginia",93583
"Rockbridge County, Virginia",22509
"Rockingham County, Virginia",79444
"Russell County, Virginia",27408
"Scott County, Virginia",22009
"Shenandoah County, Virginia",43045
"Smyth County, Virginia",31059
"Southampton County, Virginia",17939
"Spotsylvania County, Virginia",131412
"Stafford County, Virginia",144012
"Surry County, Virginia",6600
"Sussex County, Virginia",11486
"Tazewell County, Virginia",42080
"Warren County, Virginia",39449
"Washington County, Virginia",54406
"Westmoreland County, Virginia",17638
"Wise County, Virginia",39025
"Wythe County, Virginia",28940
"York County, Virginia",67587
"Alexandria city, Virginia",156505
"Bristol city, Virginia",16843
"Buena Vista city, Virginia",6399
"Charlottesville city, Virginia",47042
"Chesapeake city, Virginia",237820
"Colonial Heights city, Virginia",17593
"Covington city, Virginia",5582
"Danville city, Virginia",41512
"Emporia city, Virginia",5381
"Fairfax city, Virginia",23865
"Falls Church city, Virginia",14067
"Franklin city, Virginia",8211
"Fredericksburg city, Virginia",28469
"Galax city, Virginia",6638
"Hampton city, Virginia",135583
"Harrisonburg city, Virginia",53391
"Hopewell city, Virginia",22408
"Lexington city, Virginia",7110
"Lynchburg city, Virginia",80131
"Manassas city, Virginia",41457
"Manassas Park city, Virginia",16423
"Martinsville city, Virginia",13101
"Newport News city, Virginia",180145
"Norfolk city, Virginia",245592
"Norton city, Virginia",3990
"Petersburg city, Virginia",31827
"Poquoson city, Virginia",12039
"Portsmouth city, Virginia",95311
"Radford city, Virginia",17630
"Richmond city, Virginia",223787
"Roanoke city, Virginia",99621
"Salem city, Virginia",25519
"Staunton city, Virginia",24452
"Suffolk city, Virginia",89160
"Virginia Beach city, Virginia",450135
"Waynesboro city, Virginia",21926
"Williamsburg city, Virginia",14788
"Winchester city, Virginia",27789
"Adams County, Washington",19452
"Asotin County, Washington",22337
"Benton County, Washington",194168
"Chelan County, Washington",75757
"Clallam County, Washington",74487
"Clark County, Washington",465384
"Columbia County, Washington",4001
"Cowlitz County, Washington",105112
"Douglas County, Washington",41371
"Ferry County, Washington",7576
"Franklin County, Washington",90660
"Garfield County, Washington",2224
"Grant County, Washington",94860
"Grays Harbor County, Washington",71967
"Island County, Washington",81636
"Jefferson County, Washington",30856
"King County, Washington",2163257
"Kitsap County, Washington",262475
"Kittitas County, Washington",44825
"Klickitat County, Washington",21396
"Lewis County, Washington",76947
"Lincoln County, Washington",10435
"Mason County, Washington",62627
"Okanogan County, Washington",41638
"Pacific County, Washington",21281
"Pend Oreille County, Washington",13219
"Pierce County, Washington",859840
"San Juan County, Washington",16473
"Skagit County, Washington",123907
"Skamania County, Washington",11620
"Snohomish County, Washington",786620
"Spokane County, Washington",497875
"Stevens County, Washington",44214
"Thurston County, Washington",274684
"Wahkiakum County, Washington",4189
"Walla Walla County, Washington",60236
"Whatcom County, Washington",216812
"Whitman County, Washington",48593
"Yakima County, Washington",249325
"Barbour County, West Virginia",16730
"Berkeley County, West Virginia",113495
"Boone County, West Virginia",22817
"Braxton County, West Virginia",14282
"Brooke County, West Virginia",22772
"Cabell County, West Virginia",95318
"Calhoun County, West Virginia",7396
"Clay County, West Virginia",8785
"Doddridge County, West Virginia",8536
"Fayette County, West Virginia",44126
"Gilmer County, West Virginia",8205
"Grant County, West Virginia",11641
"Greenbrier County, West Virginia",35347
"Hampshire County, West Virginia",23363
"Hancock County, West Virginia",29680
"Hardy County, West Virginia",13842
"Harrison County, West Virginia",68209
"Jackson County, West Virginia",29018
"Jefferson County, West Virginia",56179
"Kanawha County, West Virginia",185710
"Lewis County, West Virginia",16276
"Lincoln County, West Virginia",21078
"Logan County, West Virginia",33801
"McDowell County, West Virginia",19217
"Marion County, West Virginia",56497
"Marshall County, West Virginia",31645
"Mason County, West Virginia",26939
"Mercer County, West Virginia",60486
"Mineral County, West Virginia",27278
"Mingo County, West Virginia",24741
"Monongalia County, West Virginia",105252
"Monroe County, West Virginia",13467
"Morgan County, West Virginia",17624
"Nicholas County, West Virginia",25324
"Ohio County, West Virginia",42547
"Pendleton County, West Virginia",7056
"Pleasants County, West Virginia",7507
"Pocahontas County, West Virginia",8531
"Preston County, West Virginia",33837
"Putnam County, West Virginia",56652
"Raleigh County, West Virginia",76232
"Randolph County, West Virginia",29065
"Ritchie County, West Virginia",9932
"Roane County, West Virginia",14205
"Summers County, West Virginia",13018
"Taylor County, West Virginia",16951
"Tucker County, West Virginia",7027
"Tyler County, West Virginia",8909
"Upshur County, West Virginia",24605
"Wayne County, West Virginia",40708
"Webster County, West Virginia",8518
"Wetzel County, West Virginia",15614
"Wirt County, West Virginia",5797
"Wood County, West Virginia",85556
"Wyoming County, West Virginia",21711
"Adams County, Wisconsin",20073
"Ashland County, Wisconsin",15712
"Barron County, Wisconsin",45252
"Bayfield County, Wisconsin",14992
"Brown County, Wisconsin",259786
"Buffalo County, Wisconsin",13167
"Burnett County, Wisconsin",15258
"Calumet County, Wisconsin",49807
"Chippewa County, Wisconsin",63635
"Clark County, Wisconsin",34491
"Columbia County, Wisconsin",56954
"Crawford County, Wisconsin",16288
"Dane County, Wisconsin",529843
"Dodge County, Wisconsin",87776
"Door County, Wisconsin",27439
"Douglas County, Wisconsin",43402
"Dunn County, Wisconsin",44498
"Eau Claire County, Wisconsin",102991
"Florence County, Wisconsin",4337
"Fond du Lac County, Wisconsin",102315
"Forest County, Wisconsin",9018
"Grant County, Wisconsin",51828
"Green County, Wisconsin",36864
"Green Lake County, Wisconsin",18757
"Iowa County, Wisconsin",23620
"Iron County, Wisconsin",5715
"Jackson County, Wisconsin",20506
"Jefferson County, Wisconsin",84652
"Juneau County, Wisconsin",26419
"Kenosha County, Wisconsin",168330
"Kewaunee County, Wisconsin",20360
"La Crosse County, Wisconsin",117850
"Lafayette County, Wisconsin",16735
"Langlade County, Wisconsin",19164
"Lincoln County, Wisconsin",27848
"Manitowoc County, Wisconsin",79407
"Marathon County, Wisconsin",135264
"Marinette County, Wisconsin",40537
"Marquette County, Wisconsin",15207
"Menominee County, Wisconsin",4579
"Milwaukee County, Wisconsin",954209
"Monroe County, Wisconsin",45502
"Oconto County, Wisconsin",37556
"Oneida County, Wisconsin",35345
"Outagamie County, Wisconsin",184754
"Ozaukee County, Wisconsin",88284
"Pepin County, Wisconsin",7262
"Pierce County, Wisconsin",41603
"Polk County, Wisconsin",43349
"Portage County, Wisconsin",70599
"Price County, Wisconsin",13490
"Racine County, Wisconsin",195398
"Richland County, Wisconsin",17539
"Rock County, Wisconsin",161769
"Rusk County, Wisconsin",14183
"St. Croix County, Wisconsin",87917
"Sauk County, Wisconsin",63596
"Sawyer County, Wisconsin",16370
"Shawano County, Wisconsin",41009
"Sheboygan County, Wisconsin",115205
"Taylor County, Wisconsin",20356
"Trempealeau County, Wisconsin",29438
"Vernon County, Wisconsin",30516
"Vilas County, Wisconsin",21593
"Walworth County, Wisconsin",103013
"Washburn County, Wisconsin",15689
"Washington County, Wisconsin",134535
"Waukesha County, Wisconsin",398879
"Waupaca County, Wisconsin",51444
"Waushara County, Wisconsin",24116
"Winnebago County, Wisconsin",169926
"Wood County, Wisconsin",73274
"Albany County, Wyoming",38102
"Big Horn County, Wyoming",11901
"Campbell County, Wyoming",47708
"Carbon County, Wyoming",15477
"Converse County, Wyoming",13997
"Crook County, Wyoming",7410
"Fremont County, Wyoming",40076
"Goshen County, Wyoming",13438
"Hot Springs County, Wyoming",4680
"Johnson County, Wyoming",8515
"Laramie County, Wyoming",97692
"Lincoln County, Wyoming",19011
"Natrona County, Wyoming",80610
"Niobrara County, Wyoming",2448
"Park County, Wyoming",29121
"Platte County, Wyoming",8673
"Sheridan County, Wyoming",30012
"Sublette County, Wyoming",9951
"Sweetwater County, Wyoming",44117
"Teton County, Wyoming",23059
"Uinta County, Wyoming",20609
"Washakie County, Wyoming",8129
"Weston County, Wyoming",7100
"Adjuntas Municipio, Puerto Rico",18181
"Aguada Municipio, Puerto Rico",38643
"Aguadilla Municipio, Puerto Rico",54166
"Aguas Buenas Municipio, Puerto Rico",26275
"Aibonito Municipio, Puerto Rico",23457
"A�asco Municipio, Puerto Rico",27368
"Arecibo Municipio, Puerto Rico",87242
"Arroyo Municipio, Puerto Rico",18111
"Barceloneta Municipio, Puerto Rico",24299
"Barranquitas Municipio, Puerto Rico",28755
"Bayam�n Municipio, Puerto Rico",182955
"Cabo Rojo Municipio, Puerto Rico",49005
"Caguas Municipio, Puerto Rico",131363
"Camuy Municipio, Puerto Rico",32222
"Can�vanas Municipio, Puerto Rico",46108
"Carolina Municipio, Puerto Rico",157453
"Cata�o Municipio, Puerto Rico",24888
"Cayey Municipio, Puerto Rico",44530
"Ceiba Municipio, Puerto Rico",11853
"Ciales Municipio, Puerto Rico",16912
"Cidra Municipio, Puerto Rico",40343
"Coamo Municipio, Puerto Rico",39265
"Comer�o Municipio, Puerto Rico",19539
"Corozal Municipio, Puerto Rico",34165
"Culebra Municipio, Puerto Rico",1314
"Dorado Municipio, Puerto Rico",37208
"Fajardo Municipio, Puerto Rico",32001
"Florida Municipio, Puerto Rico",11910
"Gu�nica Municipio, Puerto Rico",16783
"Guayama Municipio, Puerto Rico",41706
"Guayanilla Municipio, Puerto Rico",19008
"Guaynabo Municipio, Puerto Rico",88663
"Gurabo Municipio, Puerto Rico",46894
"Hatillo Municipio, Puerto Rico",40390
"Hormigueros Municipio, Puerto Rico",16180
"Humacao Municipio, Puerto Rico",53466
"Isabela Municipio, Puerto Rico",42420
"Jayuya Municipio, Puerto Rico",14906
"Juana D�az Municipio, Puerto Rico",46960
"Juncos Municipio, Puerto Rico",39128
"Lajas Municipio, Puerto Rico",23315
"Lares Municipio, Puerto Rico",26451
"Las Mar�as Municipio, Puerto Rico",8599
"Las Piedras Municipio, Puerto Rico",37768
"Lo�za Municipio, Puerto Rico",26463
"Luquillo Municipio, Puerto Rico",18547
"Manat� Municipio, Puerto Rico",39692
"Maricao Municipio, Puerto Rico",6202
"Maunabo Municipio, Puerto Rico",11023
"Mayag�ez Municipio, Puerto Rico",77255
"Moca Municipio, Puerto Rico",36872
"Morovis Municipio, Puerto Rico",31320
"Naguabo Municipio, Puerto Rico",26266
"Naranjito Municipio, Puerto Rico",28557
"Orocovis Municipio, Puerto Rico",21407
"Patillas Municipio, Puerto Rico",17334
"Pe�uelas Municipio, Puerto Rico",20984
"Ponce Municipio, Puerto Rico",143926
"Quebradillas Municipio, Puerto Rico",24036
"Rinc�n Municipio, Puerto Rico",14269
"R�o Grande Municipio, Puerto Rico",50550
"Sabana Grande Municipio, Puerto Rico",23054
"Salinas Municipio, Puerto Rico",28633
"San Germ�n Municipio, Puerto Rico",32114
"San Juan Municipio, Puerto Rico",344606
"San Lorenzo Municipio, Puerto Rico",37873
"San Sebasti�n Municipio, Puerto Rico",37964
"Santa Isabel Municipio, Puerto Rico",22066
"Toa Alta Municipio, Puerto Rico",73405
"Toa Baja Municipio, Puerto Rico",79726
"Trujillo Alto Municipio, Puerto Rico",67780
"Utuado Municipio, Puerto Rico",29402
"Vega Alta Municipio, Puerto Rico",37724
"Vega Baja Municipio, Puerto Rico",53371
"Vieques Municipio, Puerto Rico",8771
"Villalba Municipio, Puerto Rico",22993
"Yabucoa Municipio, Puerto Rico",34149
"Yauco Municipio, Puerto Rico",36439
